"title","href","sourceBucket","isGloboDomain"
"Ir para menu","#menu-toggle","external","false"
"Ir para conteúdo principal","#highlight-accessibility","external","false"
"Ir para rodapé","#footer-logo-link","external","false"
"Globo.com, aqui você encontra notícias da sua região, esportes, entretenimento e muito mais","https://www.globo.com/","globo","true"
"Previsão do tempo","https://g1.globo.com/previsao-do-tempo?utm_source=globo.com&utm_medium=menu&utm_campaign=previsao-do-tempo","g1","true"
"Guia de Compras","https://g1.globo.com/especiais/guia-de-compras/?utm_source=globo.com&utm_medium=menu&utm_campaign=guia-de-compras","g1","true"
"Assine Cartola Pro","https://vitrine.globo.com/cartola","globo","true"
"Internacional","https://globoesporte.globo.com/rs/futebol/times/internacional/","globo","true"
"Athletico-PR","https://globoesporte.globo.com/pr/futebol/times/athletico-pr/","globo","true"
"seleção brasileira","https://globoesporte.globo.com/futebol/selecao-brasileira/","globo","true"
"Brasileirão Série A","https://globoesporte.globo.com/futebol/brasileirao-serie-a/","globo","true"
"Brasileirão Série B","https://globoesporte.globo.com/futebol/brasileirao-serie-b/","globo","true"
"Copa América","https://globoesporte.globo.com/futebol/copa-america/","globo","true"
"Copa do Brasil","https://globoesporte.globo.com/futebol/copa-do-brasil/","globo","true"
"Copa Sul-americana","https://globoesporte.globo.com/futebol/copa-sul-americana/","globo","true"
"Libertadores","https://globoesporte.globo.com/futebol/libertadores/","globo","true"
"Público nos Estádios","http://app.globoesporte.globo.com/futebol/publico-no-brasil/index.html","globo","true"
"Rotatividade dos técnicos","https://interativos.globoesporte.globo.com/futebol/rotatividade-dos-tecnicos","globo","true"
"Vai-e-vem do mercado","https://interativos.globoesporte.globo.com/futebol/mercado/vai-e-vem/vai-e-vem-do-mercado-2020","globo","true"
"Guia de compras","https://g1.globo.com/especiais/guia-de-compras/?utm_source=globo.com&utm_medium=menu","g1","true"
"Calculadora de salário","https://valorinveste.globo.com/ferramentas/calculadoras/calculadora-salario-liquido/?utm_source=globocom&utm_medium=referral&utm_campaign=menulateral-globocom","globo","true"
"Onde investir","https://valorinveste.globo.com/ferramentas/comparador-de-investimentos/?utm_source=globocom&utm_medium=referral&utm_campaign=menulateral-globocom","globo","true"
"Redes Sociais","https://www.techtudo.com.br/softwares/apps/redes-sociais/","external","false"
"Dicas e Tutoriais","https://www.techtudo.com.br/dicas-e-tutoriais/","external","false"
"Fórum Techtudo","https://forum.techtudo.globo.com/","globo","true"
"Valor Econômico","https://valor.globo.com","globo","true"
"Valor Investe","https://valorinveste.globo.com/?utm_source=globocom&utm_medium=referral&utm_campaign=menulateral-globocom","globo","true"
"Época Negócios","http://epocanegocios.globo.com/","globo","true"
"Um Só Planeta","https://umsoplaneta.globo.com/","globo","true"
"Casa e Jardim","http://revistacasaejardim.globo.com/","globo","true"
